,FAMILY_INCOME_BRACKET,HOUSEHOLD_SIZE,SES_COMPOSITE_URBANICITY_ADJ,NUM_HS_ATTENDED,SCHOOL_PROBLEM_SCALE,SCHOOL_CLIMATE_SCALE,STUDENT_SCHOOL_MOTIVATION,TOTAL_AP_CREDITS,RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_WRIT_AVG,ACT_SCHOOL_AVG,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,REMEDIAL_COURSE_RATIO,ENROLLMENT_ATTAINMENT_STATUS,SAT_SCHOOL_AVG,HOURS_HOMEWORK
0,10,3,1.6907,1,-2.14,-9.0,-2.17,0.0,1,3.5,3.5,3.5,3.5,3.5,3.5,-9,22,-7.0,0,0,0.0,3,-18,3
1,3,6,-0.3923,1,-0.33,1.62,0.61,0.0,1,4.0,3.5,4.0,4.0,4.0,4.0,-9,-9,2.9,17,17,0.0,1,-18,7
2,6,3,1.1271,1,-1.01,0.65,0.52,6.0,3,3.0,2.5,3.0,3.5,2.5,3.5,-9,-9,2.8,31,31,0.0,3,-18,6
3,5,2,0.4283,1,0.84,-1.21,-8.0,6.5,3,4.0,4.0,4.0,3.5,4.0,4.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,4
4,9,4,0.2147,1,0.01,-1.88,1.21,3.0,1,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,3
5,5,6,1.0968,1,0.15,-0.02,0.89,0.0,1,4.0,3.0,3.5,3.0,3.0,3.5,-9,19,0.0,3,0,0.1,2,-18,-4
6,4,2,-0.4774,1,-0.66,-0.76,0.39,0.0,6,2.5,2.0,2.5,2.5,2.5,2.5,530,-9,1.2,13,6,0.5,1,1090,3
7,7,3,1.8383,2,-9.0,-9.0,0.61,1.0,1,4.0,3.5,3.5,3.5,3.5,3.5,-6,-6,3.5,56,47,0.0,13,-12,4
8,4,3,-0.1961,1,0.59,-0.51,0.34,1.0,1,3.5,3.5,3.5,4.0,3.5,4.0,-9,-9,3.2,28,28,0.0,3,-18,-4
9,4,4,0.1081,1,-0.11,0.55,0.7,3.0,1,3.5,4.0,4.0,3.5,3.5,4.0,530,24,-6.0,-6,-6,-6.0,-6,1080,5
10,5,6,1.0842,1,0.29,0.18,-2.39,0.0,1,3.5,3.0,3.0,3.5,3.0,3.5,-9,19,2.2,27,27,0.0,1,-18,-3
11,13,5,2.3344,1,-2.14,2.32,0.1,2.0,6,4.0,4.0,4.0,4.0,4.0,4.0,570,26,3.6,35,34,0.0,3,1140,6
12,13,4,2.4002,1,-1.3,-0.44,0.87,5.0,3,3.5,3.0,3.5,3.5,3.5,4.0,570,-9,-8.0,-8,-8,-8.0,-8,1190,3
13,2,2,-0.7851,-8,-9.0,-9.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,-13
14,11,3,1.0156,1,-9.0,-9.0,0.71,4.0,3,4.0,4.0,3.5,4.0,4.0,4.5,530,-9,3.9,33,33,0.0,3,1100,0
15,3,4,0.0523,1,-0.74,1.64,0.1,0.0,3,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-8.0,-8,-8,-8.0,-8,-18,9
16,4,5,1.6782,1,-1.7,1.98,0.74,0.0,3,4.0,4.0,4.0,4.0,4.0,4.0,530,23,3.8,36,33,0.0,3,1070,7
17,-8,-8,-0.0453,1,1.19,-1.41,0.43,7.0,1,3.0,3.0,3.0,3.0,2.5,3.5,-9,-9,3.0,31,28,0.0,11,-18,6
18,2,4,-0.1967,1,-0.78,-0.42,-1.06,0.0,6,3.5,3.5,3.0,2.5,3.0,3.5,520,21,2.7,21,18,0.0,3,1100,5
19,10,3,0.329,1,-0.6,0.68,0.87,1.0,3,3.0,3.5,3.5,3.5,3.0,3.5,640,21,2.5,6,6,0.0,2,1280,6
20,13,4,1.4352,1,-0.76,0.42,-9.0,2.0,1,2.5,3.5,3.5,3.0,3.0,3.5,560,-9,2.3,28,28,0.1,1,1120,13
21,4,5,0.0219,1,-0.1,-0.72,-0.01,8.0,3,3.0,3.5,3.0,3.0,3.0,3.5,-9,-9,3.2,31,31,0.0,3,-18,-5
22,-8,-8,-0.1905,1,-9.0,-9.0,-0.2,0.0,6,-1.0,-1.0,-1.0,1.0,0.5,1.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,3
23,4,4,1.3806,3,-9.0,-9.0,0.89,3.5,3,3.5,4.0,-9.0,4.0,3.5,4.0,-6,-6,3.3,30,30,0.0,3,-12,9
24,5,5,0.1443,1,-0.74,1.67,0.26,0.0,1,1.5,1.5,1.5,1.5,1.5,1.5,420,-9,-7.0,0,0,0.0,5,870,-13
25,-8,-8,-8.0,1,-9.0,-9.0,0.74,0.0,1,3.5,3.0,3.0,3.0,3.0,3.0,-9,24,-8.0,-8,-8,-8.0,-8,-18,-24
26,3,3,-0.9147,2,-0.06,0.4,-8.0,0.0,6,1.0,2.5,2.0,1.5,1.5,2.0,-9,20,-6.0,-6,-6,-6.0,-6,-18,3
27,7,4,1.5847,1,-1.74,0.26,-0.26,5.5,3,3.5,3.5,4.0,3.5,3.5,4.0,530,24,3.5,36,36,0.0,3,1100,4
28,-8,-8,-8.0,1,-9.0,-9.0,1.03,0.0,6,2.0,2.5,2.0,3.0,2.5,2.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-24
29,3,4,-0.6866,-8,-9.0,-9.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-8.0,-8,-8,-8.0,-8,-12,-12
30,-8,-8,-0.0685,1,-8.0,-8.0,-0.71,0.0,6,-1.0,2.0,2.5,1.5,1.5,2.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,3
31,3,2,-8.0,1,-0.02,-0.26,0.1,0.0,6,-1.0,2.5,2.5,2.0,2.0,2.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-24
